42,-18
36,-21
28,-27
21,-36
54,-14
63,-12
36,-21
27,-28
36,-21
36,-21
36,-21
54,-14
54,-14
36,-21
42,-18
36,-21
54,-14
54,-14
54,-14
42,-18
42,-18
63,-12
36,-21
84,-9
36,-21
84,-9
42,-18
63,-12
63,-12
63,-12
42,-18
63,-12
42,-18
28,-27
9,-84
54,-14
54,-14
63,-12
42,-18
42,-18
54,-14
54,-14
28,-27
42,-18
42,-18
54,-14
28,-27
18,-42
33,-23
33,-23
33,-23
33,-23
33,-23
33,-23
33,-23
69,-11
23,-33
69,-11
23,-33
69,-11
33,-23
69,-11
33,-23
33,-23
33,-23
33,-23
23,-33
23,-33
23,-33
23,-33
33,-23
33,-23
69,-11
69,-11
23,-33
23,-33
23,-33
33,-23
33,-23
69,-11
69,-11
38,-20
76,-10
76,-10
38,-20
76,-10
19,-40
38,-20
19,-40
76,-10
95,-8
76,-10
40,-19
38,-20
38,-20
38,-20
40,-19
38,-20
38,-20
76,-10
40,-19
40,-19
40,-19
38,-20
40,-19
38,-20
20,-38
38,-20
40,-19
20,-38
40,-19
38,-20
40,-19
40,-19
40,-19
40,-19
76,-10
40,-19
20,-38
40,-19
38,-20
38,-20
76,-10
38,-20
109,-7
109,-7
109,-7
45,-17
45,-17
45,-17
17,-45
45,-17
45,-17
51,-15
45,-17
45,-17
51,-15
45,-17
45,-17
45,-17
45,-17
51,-15
51,-15
51,-15
85,-9
45,-17
85,-9
45,-17
45,-17
45,-17
51,-15
45,-17
51,-15
45,-17
51,-15
85,-9
45,-17
45,-17
45,-17
51,-15
9,-85
51,-15
17,-45
51,-15
51,-15
45,-17
51,-15
45,-17
45,-17
17,-45
15,-51
59,-13
59,-13
59,-13
59,-13
59,-13
13,-59
59,-13
59,-13
59,-13
59,-13
59,-13
59,-13
59,-13
64,-12
32,-24
64,-12
24,-32
32,-24
48,-16
64,-12
32,-24
32,-24
32,-24
24,-32
24,-32
48,-16
48,-16
12,-64
48,-16
64,-12
48,-16
96,-8
48,-16
64,-12
48,-16
48,-16
96,-8
32,-24
64,-12
64,-12
64,-12
32,-24
32,-24
32,-24
24,-32
48,-16
128,-6
48,-16
48,-16
24,-32
96,-8
32,-24
32,-24
48,-16
48,-16
48,-16
64,-12
24,-32
32,-24
48,-16
32,-24
48,-16
16,-48
48,-16
24,-32
64,-12
55,-14
35,-22
77,-10
55,-14
35,-22
77,-10
70,-11
35,-22
22,-35
55,-14
35,-22
55,-14
35,-22
77,-10
22,-35
35,-22
55,-14
55,-14
77,-10
35,-22
70,-11
35,-22
55,-14
55,-14
55,-14
55,-14
35,-22
55,-14
55,-14
35,-22
35,-22
77,-10
55,-14
77,-10
55,-14
55,-14
70,-11
77,-10
35,-22
70,-11
55,-14
10,-77
55,-14
55,-14
77,-10
70,-11
35,-22
35,-22
43,-18
43,-18
43,-18
43,-18
43,-18
43,-18
43,-18
43,-18
43,-18
43,-18
86,-9
43,-18
43,-18
43,-18
43,-18
18,-43
43,-18
86,-9
43,-18
86,-9
6,-129
43,-18
9,-86
43,-18
43,-18
43,-18
43,-18
43,-18
31,-25
25,-31
31,-25
31,-25
25,-31
31,-25
31,-25
31,-25
31,-25
25,-31
25,-31
31,-25
97,-8
37,-21
37,-21
21,-37
37,-21
37,-21
37,-21
37,-21
37,-21
37,-21
37,-21
21,-37
37,-21
37,-21
37,-21
37,-21
37,-21
37,-21
21,-37
37,-21
41,-19
41,-19
41,-19
19,-41
41,-19
41,-19
19,-41
41,-19
19,-41
41,-19
41,-19
41,-19
41,-19
41,-19
41,-19
41,-19
19,-41
41,-19
30,-26
39,-20
20,-39
52,-15
52,-15
20,-39
60,-13
60,-13
52,-15
78,-10
65,-12
39,-20
39,-20
39,-20
52,-15
30,-26
39,-20
52,-15
52,-15
65,-12
26,-30
65,-12
30,-26
60,-13
52,-15
52,-15
130,-6
60,-13
65,-12
52,-15
39,-20
65,-12
65,-12
20,-39
26,-30
