1725,27,15007,159,92,160,92,0,None,###
3380,7,25892,70,414,71,414,0,Latin,###
3445,39,26299,266,155,268,155,0,Symbols,-
3467,4,26734,288,303,290,303,0,Latin,###
3467,5,26735,287,302,291,302,0,Latin,###
3485,19,27111,239,209,241,209,0,None,###
3485,37,27129,214,191,214,193,0,None,###
3485,86,27178,164,233,164,235,0,Latin,###
3618,20,28779,223,263,223,263,0,Latin,af
3669,12,29272,252,299,252,299,0,Symbols,-
3791,11,30335,289,247,290,247,0,None,###
3791,12,30336,289,245,289,245,0,None,###
3795,4,30370,23,330,26,330,0,None,###
3858,7,31006,260,140,260,140,0,Latin,Kliniken
3895,24,31593,249,255,249,256,0,Symbols,•
3895,42,31611,245,262,246,262,0,Symbols,-
3959,4,32215,236,278,236,280,0,Latin,1
4266,6,36134,394,268,394,270,0,Latin,###
4284,15,36424,387,222,389,222,0,None,###
4293,5,36548,343,174,343,180,0,Latin,###
4696,34,42093,323,112,324,112,0,Symbols,—
5068,30,47636,77,181,84,181,0,None,###
5068,35,47641,77,188,81,188,0,None,###
5068,37,47643,77,193,82,193,0,None,###
5068,38,47644,77,199,79,199,0,None,###
5068,39,47645,77,200,82,200,0,None,###
5068,44,47650,89,181,99,181,0,None,###
5068,49,47655,89,193,97,193,0,None,###
5068,72,47678,89,198,92,198,0,None,###
5068,76,47682,89,201,93,201,0,None,###
5068,79,47685,90,203,93,203,0,None,###
5068,93,47699,96,204,97,204,0,None,###
5175,6,48995,373,259,373,261,0,Latin,1
5270,59,50149,252,318,253,318,0,Latin,###
5270,61,50151,252,321,252,323,0,Latin,###
5510,34,53133,225,279,225,282,0,Latin,I
5651,46,56250,260,376,261,376,0,Symbols,-
5665,13,56552,246,154,247,154,0,Symbols,-
5722,9,58582,206,200,206,203,0,Latin,I
5754,66,59528,340,183,344,183,0,None,###
5754,67,59529,341,184,345,184,0,None,###
5754,93,59555,349,180,352,180,0,None,###
5754,94,59556,349,181,351,181,0,None,###
5754,100,59562,348,187,350,187,0,None,###
5754,108,59570,349,193,351,193,0,None,###
5765,42,59856,369,233,369,237,0,Latin,3
5765,55,59869,265,245,266,245,0,None,###
5765,61,59875,283,262,287,262,0,None,###
5766,48,59959,268,84,271,84,0,None,###
5766,53,59964,298,84,301,84,0,None,###
5766,64,59975,396,81,401,81,0,None,###
5766,67,59978,392,84,395,84,0,None,###
5772,7,60431,27,78,31,78,0,None,###
5772,8,60432,25,79,31,79,0,None,###
5772,56,60480,230,178,235,178,0,None,###
5778,30,60640,161,252,163,252,0,None,###
5778,105,60715,400,303,402,303,0,None,###
5841,70,63172,108,363,109,363,0,Symbols,-
5849,25,63632,201,336,202,336,0,None,###
5849,33,63640,192,353,192,354,0,None,###
5856,146,63881,296,389,296,389,0,Symbols,-
5902,19,65512,133,291,134,291,0,Symbols,-
5904,144,65713,70,253,70,254,0,Symbols,
5907,9,66013,152,414,153,414,0,Latin,###
5933,86,66812,194,245,196,245,0,Symbols,-
5938,22,67137,232,167,233,167,0,Symbols,-
5938,24,67139,232,169,233,169,0,Symbols,-
5939,76,67238,85,204,85,206,0,Symbols,/
5949,85,67583,123,310,123,311,0,Latin,n
5949,105,67603,71,216,71,217,0,Symbols,-
6061,122,71529,336,27,340,27,0,Latin,###
6066,45,71850,354,250,354,251,0,Latin,e
6066,94,71899,183,314,185,314,0,Latin,###
6088,148,72866,252,332,252,333,0,Latin,N
6088,149,72867,253,332,253,334,0,Latin,T
6110,155,73770,196,359,196,362,0,Latin,I
